GarageQual,GarageCond,Electrical,LotShape,SaleCondition,YrSold,SalePrice
TA,TA,SBrkr,Reg,Normal,2007,177000
Fa,TA,SBrkr,Reg,Normal,2006,200100
TA,TA,SBrkr,Reg,Normal,2007,120000
TA,TA,SBrkr,Reg,Normal,2008,200000
TA,TA,SBrkr,IR1,Normal,2006,127000
Ex,TA,SBrkr,IR2,Normal,2006,475000
TA,TA,SBrkr,IR1,Normal,2009,173000
Fa,Fa,SBrkr,Reg,Normal,2009,135000
TA,TA,SBrkr,Reg,Alloca,2009,153337
TA,TA,SBrkr,Reg,Normal,2008,286000
TA,TA,SBrkr,Reg,Normal,2007,315000
TA,TA,SBrkr,IR1,Normal,2007,184000
TA,TA,SBrkr,IR1,Normal,2009,192000
TA,TA,SBrkr,Reg,Normal,2006,130000
TA,TA,SBrkr,IR1,Normal,2008,127000
TA,TA,SBrkr,Reg,Normal,2009,148500
TA,TA,SBrkr,Reg,Partial,2007,311872
TA,TA,SBrkr,Reg,Abnorml,2006,235000
,,SBrkr,Reg,Abnorml,2009,104000
TA,TA,SBrkr,Reg,Normal,2009,274900
TA,TA,SBrkr,Reg,Normal,2010,140000
TA,TA,SBrkr,Reg,Normal,2008,171500
TA,TA,SBrkr,Reg,Normal,2006,112000
TA,TA,SBrkr,Reg,Normal,2008,149000
TA,TA,SBrkr,Reg,Normal,2009,110000
TA,TA,SBrkr,Reg,Normal,2009,180500
TA,TA,SBrkr,IR1,Normal,2007,143900
TA,TA,SBrkr,IR1,Normal,2008,141000
TA,TA,SBrkr,IR1,Normal,2007,277000
TA,Gd,SBrkr,Reg,Normal,2008,145000
,,FuseA,Reg,Normal,2008,98000
TA,TA,SBrkr,Reg,Normal,2010,186000
TA,TA,SBrkr,Reg,Partial,2009,252678
TA,TA,SBrkr,IR2,Normal,2006,156000
TA,TA,SBrkr,IR1,Normal,2010,161750
TA,TA,SBrkr,IR1,Normal,2006,134450
TA,TA,SBrkr,Reg,Normal,2008,210000
TA,TA,SBrkr,Reg,Family,2006,107000
TA,TA,SBrkr,IR1,Normal,2008,311500
TA,TA,SBrkr,Reg,Partial,2006,167240
TA,TA,SBrkr,IR1,Partial,2006,204900
TA,TA,SBrkr,IR1,Normal,2009,200000
TA,TA,SBrkr,Reg,Normal,2006,179900
TA,TA,SBrkr,Reg,Abnorml,2009,97000
TA,TA,SBrkr,Reg,Normal,2009,386250
TA,TA,SBrkr,Reg,Abnorml,2009,112000
TA,TA,SBrkr,IR1,Abnorml,2007,290000
TA,TA,SBrkr,Reg,Normal,2008,106000
TA,TA,SBrkr,Reg,Normal,2010,125000
TA,TA,SBrkr,Reg,Normal,2009,192500
TA,TA,SBrkr,Reg,Normal,2010,148000
TA,TA,SBrkr,IR1,Normal,2009,403000
TA,TA,SBrkr,Reg,Normal,2006,94500
TA,TA,SBrkr,Reg,Normal,2010,128200
TA,TA,SBrkr,Reg,Normal,2010,216500
TA,TA,SBrkr,Reg,Normal,2008,89500
TA,TA,SBrkr,Reg,Normal,2010,185500
TA,TA,SBrkr,IR1,Normal,2010,194500
TA,TA,SBrkr,Reg,Partial,2007,318000
TA,TA,FuseA,Reg,Normal,2010,113000
TA,TA,SBrkr,Reg,Normal,2010,262500
,,SBrkr,Reg,Normal,2007,110500
Fa,TA,FuseA,Reg,Normal,2006,79000
TA,TA,SBrkr,Reg,Normal,2009,120000
TA,TA,SBrkr,IR1,Normal,2010,205000
TA,TA,SBrkr,Reg,Normal,2006,241500
Po,Po,FuseA,Reg,Normal,2006,137000
TA,TA,SBrkr,Reg,Normal,2006,140000
TA,TA,SBrkr,Reg,Normal,2007,180000
TA,TA,SBrkr,IR2,Normal,2007,277000
,,SBrkr,IR1,Normal,2010,76500
TA,TA,SBrkr,IR1,Family,2007,235000
TA,TA,SBrkr,IR1,Normal,2008,173000
TA,TA,SBrkr,Reg,Normal,2007,158000
TA,TA,SBrkr,Reg,Normal,2010,145000
TA,TA,SBrkr,IR1,Normal,2006,230000
TA,TA,SBrkr,IR1,Normal,2008,207500
TA,TA,SBrkr,Reg,Abnorml,2009,220000
TA,TA,SBrkr,Reg,Normal,2008,231500
TA,TA,FuseA,Reg,Normal,2008,97000
TA,TA,SBrkr,Reg,Normal,2009,176000
TA,TA,SBrkr,IR1,Partial,2007,276000
TA,TA,SBrkr,IR1,Normal,2006,151000
TA,TA,SBrkr,Reg,Normal,2010,130000
TA,TA,FuseA,IR3,Normal,2008,73000
TA,TA,SBrkr,IR1,Normal,2008,175500
TA,TA,SBrkr,IR1,Normal,2006,185000
TA,TA,SBrkr,Reg,Normal,2008,179500
Ex,Ex,SBrkr,Reg,Normal,2008,120500
TA,Gd,SBrkr,IR1,Normal,2007,148000
TA,TA,SBrkr,Reg,Partial,2006,266000
TA,TA,SBrkr,IR1,Normal,2008,241500
TA,TA,SBrkr,IR1,Normal,2010,290000
TA,TA,SBrkr,Reg,Normal,2009,139000
TA,TA,SBrkr,Reg,Normal,2007,124500
TA,TA,SBrkr,Reg,Normal,2009,205000
TA,TA,SBrkr,IR1,Normal,2010,201000
TA,TA,SBrkr,Reg,Normal,2010,141000
TA,TA,SBrkr,Reg,Partial,2007,415298
TA,TA,SBrkr,Reg,Normal,2008,192000
TA,TA,SBrkr,Reg,Normal,2007,228500
TA,TA,SBrkr,Reg,Partial,2006,185000
TA,TA,SBrkr,Reg,Normal,2009,207500
TA,TA,SBrkr,Reg,Partial,2009,244600
TA,TA,SBrkr,Reg,Normal,2007,179200
TA,TA,SBrkr,IR1,Partial,2007,164700
TA,TA,SBrkr,IR1,Normal,2006,159000
,,SBrkr,IR1,Normal,2006,88000
TA,TA,SBrkr,IR1,Normal,2010,122000
TA,TA,FuseA,Reg,Normal,2007,153575
Gd,TA,SBrkr,Reg,Partial,2006,233230
,,SBrkr,Reg,Normal,2008,135900
TA,TA,SBrkr,Reg,Normal,2009,131000
TA,TA,SBrkr,IR1,Normal,2006,235000
TA,TA,SBrkr,Reg,Normal,2009,167000
TA,TA,SBrkr,IR1,Normal,2006,142500
TA,TA,FuseA,Reg,Normal,2007,152000
TA,TA,SBrkr,IR1,Normal,2007,239000
TA,TA,SBrkr,Reg,Normal,2007,175000
TA,TA,SBrkr,Reg,Family,2009,158500
TA,TA,SBrkr,Reg,Normal,2006,157000
TA,TA,SBrkr,IR3,Normal,2007,267000
TA,TA,SBrkr,IR1,Normal,2006,205000
TA,TA,SBrkr,Reg,Abnorml,2006,149900
TA,TA,SBrkr,Reg,Normal,2008,295000
TA,TA,SBrkr,Reg,Normal,2007,305900
TA,TA,SBrkr,Reg,Normal,2007,225000
,,FuseA,IR1,Normal,2008,89500
TA,TA,SBrkr,IR1,Normal,2009,82500
TA,TA,SBrkr,IR1,Normal,2006,360000
TA,TA,SBrkr,IR1,Normal,2006,165600
TA,TA,SBrkr,Reg,Normal,2009,132000
TA,TA,SBrkr,Reg,Normal,2006,119900
TA,TA,SBrkr,IR3,Normal,2009,375000
Fa,TA,SBrkr,Reg,Normal,2006,178000
TA,TA,SBrkr,IR1,Normal,2009,188500
TA,TA,SBrkr,IR1,Normal,2009,260000
TA,TA,SBrkr,Reg,Normal,2007,270000
TA,TA,SBrkr,Reg,Normal,2009,260000
TA,TA,SBrkr,Reg,Normal,2009,187500
TA,TA,SBrkr,Reg,Partial,2006,342643
TA,TA,SBrkr,IR1,Normal,2007,354000
TA,TA,SBrkr,IR1,Normal,2007,301000
Fa,TA,SBrkr,Reg,Normal,2006,126175
TA,TA,SBrkr,Reg,Normal,2010,242000
TA,TA,FuseF,Reg,Normal,2007,87000
TA,TA,SBrkr,IR1,Normal,2008,324000
TA,TA,SBrkr,Reg,Normal,2006,145250
TA,TA,FuseA,IR1,Normal,2009,214500
Fa,Fa,SBrkr,Reg,Normal,2009,78000
TA,TA,SBrkr,IR1,Normal,2007,119000
TA,TA,SBrkr,Reg,Normal,2007,139000
TA,TA,SBrkr,IR1,Normal,2009,284000
TA,TA,SBrkr,Reg,Normal,2008,207000
TA,TA,SBrkr,IR1,Normal,2008,192000
TA,TA,SBrkr,IR1,Normal,2008,228950
TA,TA,SBrkr,IR1,Normal,2007,377426
TA,TA,SBrkr,Reg,Normal,2008,214000
TA,TA,SBrkr,Reg,Normal,2006,202500
TA,TA,FuseA,IR1,Normal,2009,155000
TA,TA,SBrkr,Reg,Normal,2010,202900
TA,TA,SBrkr,Reg,Normal,2009,82000
TA,TA,FuseA,Reg,Normal,2006,87500
TA,TA,SBrkr,IR1,Normal,2008,266000
TA,TA,SBrkr,Reg,Normal,2010,85000
TA,TA,SBrkr,Reg,Normal,2006,140200
TA,TA,SBrkr,IR1,Normal,2007,151500
TA,TA,FuseA,IR1,Normal,2009,157500
TA,TA,SBrkr,Reg,Normal,2008,154000
TA,TA,SBrkr,IR2,Partial,2006,437154
TA,TA,SBrkr,IR1,Partial,2007,318061
TA,TA,SBrkr,IR1,Abnorml,2006,190000
TA,Fa,SBrkr,Reg,Normal,2008,95000
TA,TA,SBrkr,Reg,Normal,2010,105900
TA,TA,SBrkr,Reg,Normal,2006,140000
TA,TA,SBrkr,IR2,Normal,2007,177500
TA,TA,SBrkr,IR1,Normal,2009,173000
TA,TA,SBrkr,Reg,Normal,2007,134000
TA,TA,FuseF,IR1,Abnorml,2006,130000
TA,TA,SBrkr,IR1,Normal,2006,280000
TA,TA,SBrkr,IR1,Normal,2007,156000
TA,TA,SBrkr,Reg,Normal,2008,145000
TA,TA,SBrkr,Reg,Normal,2009,198500
TA,TA,SBrkr,Reg,Normal,2009,118000
TA,TA,SBrkr,IR1,Normal,2006,190000
TA,Fa,FuseA,Reg,Normal,2009,147000
TA,TA,SBrkr,IR1,Normal,2009,159000
TA,TA,SBrkr,IR1,Normal,2008,165000
TA,TA,SBrkr,Reg,Normal,2010,132000
TA,TA,SBrkr,IR1,Normal,2010,162000
TA,TA,SBrkr,IR1,Normal,2006,172400
TA,TA,SBrkr,Reg,Normal,2008,134432
TA,TA,SBrkr,Reg,Normal,2010,125000
TA,TA,SBrkr,Reg,Normal,2009,123000
TA,TA,SBrkr,Reg,Normal,2007,219500
,,FuseA,IR1,Normal,2009,61000
TA,TA,SBrkr,IR1,Normal,2006,148000
TA,TA,SBrkr,IR1,Normal,2007,340000
TA,TA,SBrkr,Reg,Partial,2010,394432
TA,TA,SBrkr,IR1,Normal,2009,179000
TA,TA,SBrkr,Reg,Normal,2010,127000
TA,TA,SBrkr,Reg,Partial,2006,187750
TA,TA,SBrkr,IR1,Normal,2007,213500
Fa,Fa,FuseA,Reg,Normal,2009,76000
TA,TA,SBrkr,IR2,Normal,2007,240000
TA,TA,SBrkr,Reg,Normal,2010,192000
,,SBrkr,Reg,AdjLand,2006,81000
TA,TA,SBrkr,Reg,Abnorml,2009,125000
TA,TA,SBrkr,IR1,Normal,2008,191000
TA,TA,SBrkr,Reg,Partial,2008,426000
TA,TA,SBrkr,Reg,Normal,2008,119000
TA,TA,SBrkr,IR1,Normal,2009,215000
TA,TA,SBrkr,IR1,Normal,2007,106500
,,FuseA,Reg,Abnorml,2006,100000
TA,TA,FuseA,Reg,Normal,2007,109000
TA,TA,SBrkr,Reg,Normal,2010,129000
TA,TA,SBrkr,Reg,Normal,2009,123000
TA,TA,SBrkr,Reg,Normal,2007,169500
Po,Po,FuseA,Reg,Abnorml,2007,67000
TA,TA,SBrkr,Reg,Normal,2009,241000
TA,TA,SBrkr,IR2,Normal,2008,245500
TA,TA,SBrkr,IR1,Partial,2006,164990
TA,TA,SBrkr,Reg,Normal,2008,108000
TA,TA,SBrkr,Reg,Abnorml,2006,258000
TA,TA,SBrkr,IR1,Normal,2007,168000
TA,TA,SBrkr,IR1,Normal,2009,150000
TA,TA,FuseA,Reg,Normal,2008,115000
TA,TA,SBrkr,Reg,Normal,2008,177000
TA,TA,SBrkr,Reg,Partial,2007,280000
TA,TA,SBrkr,Reg,Partial,2008,339750
TA,TA,FuseA,Reg,Abnorml,2009,60000
TA,TA,SBrkr,Reg,Normal,2006,145000
TA,TA,SBrkr,IR2,Partial,2010,222000
TA,TA,FuseA,Reg,Normal,2010,115000
TA,TA,SBrkr,IR2,Normal,2008,228000
TA,TA,SBrkr,IR1,Partial,2007,181134
TA,TA,SBrkr,Reg,Normal,2006,149500
TA,TA,FuseA,IR1,Normal,2007,239000
TA,TA,FuseF,Reg,AdjLand,2007,126000
TA,TA,SBrkr,Reg,Normal,2010,142000
TA,TA,SBrkr,Reg,Alloca,2008,206300
TA,TA,SBrkr,IR1,Normal,2009,215000
TA,TA,FuseA,Reg,Normal,2008,113000
TA,TA,SBrkr,Reg,Normal,2008,315000
TA,TA,FuseA,Reg,Normal,2008,139000
TA,TA,SBrkr,Reg,Normal,2009,135000
TA,TA,SBrkr,Reg,Normal,2009,275000
TA,TA,SBrkr,IR1,Normal,2008,109008
TA,TA,SBrkr,Reg,Partial,2007,195400
TA,TA,SBrkr,IR1,Normal,2009,175000
TA,TA,SBrkr,Reg,Abnorml,2008,85400
,,SBrkr,IR1,Abnorml,2008,79900
TA,TA,SBrkr,Reg,Normal,2007,122500
TA,TA,SBrkr,IR1,Normal,2008,181000
,,SBrkr,Reg,Normal,2008,81000
TA,TA,SBrkr,IR2,Normal,2009,212000
TA,TA,FuseA,Reg,Normal,2006,116000
TA,TA,SBrkr,Reg,Normal,2009,119000
Gd,TA,SBrkr,Reg,Normal,2007,90350
TA,TA,SBrkr,Reg,Normal,2009,110000
TA,TA,SBrkr,Reg,Normal,2009,555000
,,FuseF,Reg,Normal,2008,118000
TA,TA,SBrkr,Reg,Normal,2008,162900
TA,TA,SBrkr,Reg,Partial,2007,172500
TA,TA,SBrkr,Reg,Normal,2008,210000
TA,TA,SBrkr,Reg,Normal,2009,127500
TA,TA,SBrkr,IR1,Normal,2010,190000
TA,TA,SBrkr,IR1,Normal,2006,199900
TA,TA,SBrkr,Reg,Normal,2006,119500
TA,TA,SBrkr,Reg,Normal,2007,120000
Fa,Fa,FuseA,Reg,Normal,2006,110000
TA,TA,SBrkr,IR1,Normal,2006,280000
TA,TA,SBrkr,IR1,Normal,2007,204000
TA,TA,SBrkr,Reg,Normal,2009,210000
TA,TA,SBrkr,Reg,Family,2006,188000
TA,TA,SBrkr,Reg,Normal,2007,175500
Fa,Fa,SBrkr,Reg,Abnorml,2008,98000
TA,TA,SBrkr,IR1,Normal,2008,256000
TA,TA,SBrkr,Reg,Normal,2008,161000
TA,TA,SBrkr,IR1,Normal,2009,110000
TA,TA,SBrkr,IR1,Partial,2009,263435
TA,TA,SBrkr,Reg,Normal,2009,155000
TA,TA,SBrkr,IR1,Normal,2009,62383
TA,TA,FuseA,IR1,Normal,2008,188700
,,SBrkr,Reg,Normal,2009,124000
TA,TA,SBrkr,Reg,Normal,2006,178740
TA,TA,SBrkr,Reg,Normal,2007,167000
TA,TA,SBrkr,Reg,Normal,2007,146500
TA,TA,SBrkr,IR1,Normal,2007,250000
TA,TA,SBrkr,IR1,Normal,2008,187000
TA,TA,SBrkr,IR1,Normal,2010,212000
TA,TA,SBrkr,Reg,Normal,2007,190000
TA,TA,SBrkr,Reg,Normal,2008,148000
TA,TA,SBrkr,IR1,Partial,2007,440000
TA,TA,SBrkr,Reg,Normal,2007,251000
TA,TA,SBrkr,Reg,Normal,2007,132500
TA,TA,SBrkr,Reg,Normal,2008,208900
TA,TA,SBrkr,Reg,Normal,2007,380000
TA,TA,SBrkr,Reg,Normal,2009,297000
TA,TA,SBrkr,Reg,Alloca,2007,89471
TA,TA,SBrkr,IR1,Normal,2006,326000
TA,TA,SBrkr,IR1,Normal,2006,374000
Fa,Fa,SBrkr,Reg,Normal,2009,155000
TA,TA,SBrkr,Reg,Normal,2006,164000
TA,TA,SBrkr,IR1,Normal,2007,132500
TA,TA,SBrkr,Reg,Normal,2009,147000
TA,TA,SBrkr,Reg,Normal,2007,156000
TA,TA,SBrkr,IR1,Normal,2007,175000
TA,Fa,FuseA,Reg,Normal,2006,160000
TA,TA,SBrkr,Reg,Normal,2009,86000
TA,TA,SBrkr,Reg,Normal,2008,115000
TA,TA,FuseA,Reg,Normal,2006,133000
TA,TA,SBrkr,IR1,Partial,2006,172785
TA,TA,FuseA,Reg,Normal,2008,155000
TA,TA,FuseA,Reg,Normal,2009,91300
,,FuseA,Reg,Abnorml,2009,34900
TA,TA,SBrkr,IR1,Normal,2007,430000
TA,TA,SBrkr,Reg,Normal,2008,184000
TA,TA,SBrkr,Reg,Normal,2009,130000
TA,TA,SBrkr,IR1,Normal,2007,120000
TA,TA,SBrkr,Reg,Normal,2007,113000
TA,TA,SBrkr,Reg,Normal,2008,226700
Fa,Fa,SBrkr,Reg,Normal,2007,140000
TA,TA,SBrkr,IR1,Normal,2010,289000
TA,TA,SBrkr,Reg,Normal,2009,147000
TA,TA,SBrkr,Reg,Normal,2009,124500
TA,TA,SBrkr,IR1,Normal,2006,215000
TA,TA,SBrkr,IR1,Partial,2009,208300
TA,TA,SBrkr,Reg,Normal,2008,161000
TA,TA,SBrkr,Reg,Normal,2009,124500
TA,TA,SBrkr,Reg,Normal,2009,164900
TA,TA,SBrkr,IR1,Partial,2006,202665
TA,TA,SBrkr,Reg,Normal,2006,129900
TA,TA,SBrkr,Reg,Normal,2007,134000
Po,Po,SBrkr,Reg,Normal,2007,96500
TA,TA,SBrkr,Reg,Partial,2009,402861
TA,TA,SBrkr,IR1,Abnorml,2009,158000
TA,TA,SBrkr,IR1,Normal,2009,265000
TA,TA,SBrkr,IR1,Normal,2007,211000
TA,TA,SBrkr,Reg,Normal,2009,234000
,,FuseA,Reg,Normal,2008,106250
TA,TA,FuseA,IR1,Normal,2007,150000
TA,TA,SBrkr,Reg,Normal,2006,159000
TA,TA,SBrkr,IR1,Partial,2007,184750
TA,TA,SBrkr,IR1,Normal,2007,315750
TA,TA,SBrkr,Reg,Normal,2006,176000
TA,TA,SBrkr,Reg,Normal,2007,132000
TA,TA,SBrkr,IR1,Partial,2008,446261
,,SBrkr,IR1,Normal,2007,86000
TA,TA,SBrkr,IR1,Alloca,2007,200624
TA,TA,SBrkr,Reg,Abnorml,2008,175000
TA,Fa,SBrkr,IR1,Normal,2008,128000
TA,TA,SBrkr,Reg,Normal,2010,107500
,,FuseF,Reg,Normal,2007,39300
TA,TA,SBrkr,IR1,Normal,2006,178000
,,SBrkr,Reg,Normal,2008,107500
TA,TA,SBrkr,IR1,Normal,2008,188000
TA,TA,SBrkr,IR1,Normal,2008,111250
