CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,,,,,
less_0,15,prior_payments_delayed,radio_tv,1995,500_to_1000,1_to_4,3,female,co-applicant,3,savings_insurance,42,stores,rent,1,unskilled,1,none,yes,,,,,
0_to_200,26,credits_paid_to_date,radio_tv,6158,less_100,4_to_7,4,male,none,4,car_other,51,none,own,2,skilled,1,yes,yes,,,,,
0_to_200,29,outstanding_credit,other,4651,500_to_1000,greater_7,4,male,none,2,car_other,43,none,free,2,skilled,1,yes,yes,,,,,
0_to_200,25,outstanding_credit,car_used,3190,100_to_500,1_to_4,3,male,none,3,savings_insurance,42,bank,own,1,unskilled,1,none,yes,,,,,
0_to_200,26,credits_paid_to_date,car_new,1950,500_to_1000,1_to_4,3,female,none,2,real_estate,32,none,rent,1,skilled,1,none,yes,,,,,
less_0,9,all_credits_paid_back,vacation,250,less_100,unemployed,1,male,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,,,,,
0_to_200,18,credits_paid_to_date,car_used,2829,less_100,1_to_4,2,male,none,3,savings_insurance,30,none,rent,1,skilled,1,none,yes,,,,,
no_checking,24,prior_payments_delayed,car_used,1637,100_to_500,1_to_4,3,male,none,4,real_estate,33,none,rent,1,management_self-employed,1,yes,yes,,,,,
no_checking,23,prior_payments_delayed,car_used,2750,unknown,greater_7,4,female,guarantor,3,real_estate,44,none,free,1,skilled,1,yes,yes,,,,,
no_checking,20,outstanding_credit,furniture,3893,500_to_1000,4_to_7,4,male,none,3,unknown,42,none,own,2,skilled,1,yes,yes,,,,,
no_checking,26,prior_payments_delayed,appliances,3108,unknown,greater_7,3,male,none,4,savings_insurance,49,bank,own,2,unemployed,1,none,yes,,,,,
less_0,12,all_credits_paid_back,appliances,3796,100_to_500,4_to_7,3,female,none,2,car_other,35,bank,rent,2,unemployed,1,yes,yes,,,,,
no_checking,32,prior_payments_delayed,car_used,9131,500_to_1000,4_to_7,5,male,co-applicant,4,car_other,41,none,free,2,management_self-employed,2,yes,yes,,,,,
no_checking,44,prior_payments_delayed,repairs,6912,greater_1000,greater_7,4,male,co-applicant,3,car_other,42,none,own,2,skilled,1,none,yes,,,,,
less_0,11,prior_payments_delayed,furniture,250,less_100,4_to_7,2,male,none,1,savings_insurance,24,stores,own,1,skilled,1,none,yes,,,,,
no_checking,26,outstanding_credit,radio_tv,7555,unknown,greater_7,4,male,co-applicant,3,unknown,60,none,free,3,skilled,2,yes,yes,,,,,
no_checking,35,outstanding_credit,appliances,7138,500_to_1000,greater_7,5,male,co-applicant,4,unknown,49,none,free,2,skilled,2,yes,yes,,,,,
less_0,4,all_credits_paid_back,car_new,250,100_to_500,less_1,1,female,none,1,real_estate,21,bank,rent,1,unskilled,1,none,yes,,,,,
no_checking,37,prior_payments_delayed,furniture,6633,500_to_1000,1_to_4,3,female,none,4,car_other,55,none,own,2,skilled,1,yes,yes,,,,,
no_checking,29,prior_payments_delayed,radio_tv,3573,greater_1000,greater_7,3,male,none,4,car_other,58,bank,own,2,unemployed,2,yes,yes,,,,,
0_to_200,16,prior_payments_delayed,radio_tv,730,less_100,1_to_4,3,male,none,3,real_estate,31,none,own,1,skilled,1,none,yes,,,,,
0_to_200,19,credits_paid_to_date,car_used,1448,less_100,4_to_7,2,male,none,3,car_other,31,stores,own,1,skilled,1,none,yes,,,,,
no_checking,28,outstanding_credit,radio_tv,7546,500_to_1000,4_to_7,4,male,none,4,car_other,49,none,free,2,management_self-employed,1,yes,yes,,,,,
0_to_200,15,prior_payments_delayed,retraining,2497,less_100,greater_7,4,female,none,3,car_other,24,stores,own,1,skilled,1,none,yes,,,,,
no_checking,12,all_credits_paid_back,vacation,1529,500_to_1000,4_to_7,3,female,none,3,savings_insurance,32,none,own,1,skilled,1,none,yes,,,,,
no_checking,32,prior_payments_delayed,car_used,5506,500_to_1000,1_to_4,4,male,none,3,car_other,29,none,own,1,skilled,1,none,yes,,,,,
0_to_200,19,prior_payments_delayed,radio_tv,358,100_to_500,greater_7,3,female,none,2,car_other,40,none,own,2,skilled,1,none,yes,,,,,
no_checking,18,credits_paid_to_date,car_new,4035,500_to_1000,less_1,3,male,guarantor,3,savings_insurance,40,none,own,1,skilled,1,yes,yes,,,,,
no_checking,14,all_credits_paid_back,vacation,3025,less_100,unemployed,2,male,none,2,real_estate,20,none,rent,1,management_self-employed,1,none,yes,,,,,
0_to_200,28,credits_paid_to_date,furniture,5361,100_to_500,1_to_4,3,male,none,2,car_other,37,stores,own,1,unskilled,1,none,yes,,,,,
less_0,4,credits_paid_to_date,car_used,250,less_100,less_1,1,male,none,2,real_estate,23,bank,rent,1,unskilled,1,none,yes,,,,,
no_checking,17,credits_paid_to_date,radio_tv,7508,100_to_500,less_1,4,male,co-applicant,3,unknown,40,none,own,1,management_self-employed,1,yes,yes,,,,,
less_0,7,no_credits,car_new,250,less_100,unemployed,2,male,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,,,,,
less_0,8,prior_payments_delayed,car_new,988,less_100,1_to_4,2,male,none,2,savings_insurance,26,none,own,2,skilled,2,yes,yes,,,,,
greater_200,39,prior_payments_delayed,furniture,4735,500_to_1000,greater_7,4,female,none,3,unknown,45,stores,own,2,skilled,1,none,yes,,,,,
0_to_200,14,credits_paid_to_date,furniture,6349,less_100,4_to_7,3,male,none,2,savings_insurance,35,stores,own,1,unskilled,2,none,yes,,,,,
less_0,22,credits_paid_to_date,car_new,250,less_100,1_to_4,2,male,none,3,real_estate,19,bank,rent,1,unemployed,1,yes,yes,,,,,
less_0,4,credits_paid_to_date,car_new,250,less_100,1_to_4,1,female,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,,,,,
less_0,26,credits_paid_to_date,furniture,3871,500_to_1000,4_to_7,4,male,none,3,savings_insurance,19,bank,rent,1,unskilled,1,none,yes,,,,,
less_0,25,credits_paid_to_date,vacation,3551,less_100,4_to_7,3,male,none,3,savings_insurance,40,none,rent,1,skilled,1,none,yes,,,,,
less_0,21,prior_payments_delayed,car_used,2716,greater_1000,1_to_4,2,female,none,2,car_other,37,stores,own,1,unskilled,1,none,yes,,,,,
no_checking,20,outstanding_credit,car_used,1753,500_to_1000,1_to_4,2,male,none,4,real_estate,37,none,own,1,skilled,1,yes,yes,,,,,
0_to_200,4,all_credits_paid_back,car_new,250,less_100,less_1,1,male,none,1,savings_insurance,36,none,own,1,skilled,1,none,yes,,,,,
less_0,8,prior_payments_delayed,furniture,2842,less_100,1_to_4,3,female,none,2,real_estate,35,none,own,1,skilled,1,none,yes,,,,,
no_checking,28,outstanding_credit,furniture,6219,greater_1000,4_to_7,5,male,none,5,unknown,52,none,free,2,skilled,2,yes,yes,,,,,
no_checking,37,prior_payments_delayed,appliances,6199,greater_1000,4_to_7,4,male,none,4,savings_insurance,46,none,own,2,skilled,1,none,yes,,,,,
less_0,4,all_credits_paid_back,car_new,250,less_100,less_1,2,male,none,2,savings_insurance,19,none,rent,1,management_self-employed,1,none,yes,,,,,
less_0,11,credits_paid_to_date,car_used,250,500_to_1000,1_to_4,3,female,none,2,savings_insurance,39,stores,own,1,skilled,1,none,yes,,,,,
no_checking,35,prior_payments_delayed,appliances,5839,500_to_1000,1_to_4,3,female,guarantor,3,car_other,49,none,free,1,skilled,1,yes,yes,,,,,
less_0,4,no_credits,car_new,250,less_100,less_1,1,male,none,1,real_estate,27,stores,rent,1,skilled,1,none,yes,,,,,
less_0,17,credits_paid_to_date,vacation,691,500_to_1000,1_to_4,3,male,none,3,savings_insurance,22,none,rent,2,skilled,1,none,yes,,,,,
no_checking,25,prior_payments_delayed,radio_tv,5201,100_to_500,greater_7,4,female,guarantor,3,savings_insurance,52,none,free,1,skilled,1,none,yes,,,,,
less_0,4,all_credits_paid_back,education,2371,less_100,less_1,2,female,none,3,real_estate,22,none,own,2,management_self-employed,1,none,yes,,,,,
0_to_200,9,all_credits_paid_back,car_new,2672,less_100,4_to_7,3,female,none,2,savings_insurance,30,none,own,1,skilled,1,none,yes,,,,,
no_checking,35,outstanding_credit,furniture,6041,unknown,4_to_7,3,male,none,4,unknown,52,none,own,2,skilled,2,yes,yes,,,,,
no_checking,38,prior_payments_delayed,appliances,7025,500_to_1000,greater_7,5,male,co-applicant,4,unknown,44,none,free,2,management_self-employed,1,none,yes,,,,,
no_checking,27,prior_payments_delayed,furniture,6592,unknown,4_to_7,4,male,none,5,unknown,45,none,own,2,skilled,2,yes,yes,,,,,
less_0,9,all_credits_paid_back,car_used,1931,less_100,unemployed,1,female,none,2,real_estate,24,stores,rent,1,unskilled,1,none,yes,,,,,
no_checking,30,outstanding_credit,appliances,7650,500_to_1000,1_to_4,4,female,none,4,unknown,59,none,free,2,management_self-employed,2,yes,yes,,,,,
no_checking,34,outstanding_credit,repairs,7405,500_to_1000,4_to_7,5,male,none,5,unknown,46,stores,own,1,unskilled,1,none,yes,,,,,
less_0,8,all_credits_paid_back,car_used,250,100_to_500,unemployed,2,female,none,2,savings_insurance,19,bank,rent,1,unemployed,1,none,yes,,,,,
less_0,9,all_credits_paid_back,car_new,1704,less_100,less_1,2,female,none,1,real_estate,23,bank,rent,1,unskilled,1,none,yes,,,,,
no_checking,26,prior_payments_delayed,business,4440,100_to_500,1_to_4,4,male,none,3,savings_insurance,30,none,free,1,management_self-employed,2,yes,yes,,,,,
no_checking,34,prior_payments_delayed,radio_tv,5890,500_to_1000,greater_7,3,male,none,3,savings_insurance,42,none,free,1,skilled,1,none,yes,,,,,
no_checking,32,prior_payments_delayed,appliances,6990,unknown,4_to_7,5,male,none,5,unknown,44,none,own,2,skilled,2,yes,yes,,,,,
less_0,19,credits_paid_to_date,car_used,2634,less_100,less_1,1,male,none,1,real_estate,23,stores,own,1,unskilled,1,none,yes,,,,,
0_to_200,22,outstanding_credit,business,5801,100_to_500,greater_7,4,male,co-applicant,3,car_other,32,stores,free,1,unskilled,1,yes,yes,,,,,
no_checking,31,prior_payments_delayed,appliances,2071,500_to_1000,greater_7,4,male,guarantor,4,savings_insurance,46,none,free,1,unskilled,1,yes,yes,,,,,
no_checking,25,outstanding_credit,furniture,2160,unknown,greater_7,4,male,none,5,car_other,32,none,own,1,skilled,1,yes,yes,,,,,
no_checking,17,outstanding_credit,car_used,1501,unknown,greater_7,4,female,none,5,car_other,45,none,own,2,skilled,2,yes,yes,,,,,
0_to_200,31,credits_paid_to_date,other,1889,100_to_500,less_1,3,female,none,3,savings_insurance,32,none,own,1,skilled,1,none,yes,,,,,
less_0,5,no_credits,education,2247,less_100,less_1,1,female,none,1,car_other,32,none,rent,1,skilled,1,none,yes,,,,,
no_checking,29,credits_paid_to_date,radio_tv,5260,100_to_500,less_1,4,female,none,4,car_other,48,none,own,1,skilled,1,none,yes,,,,,
0_to_200,27,outstanding_credit,appliances,5929,100_to_500,greater_7,4,male,none,3,unknown,44,none,own,2,skilled,1,yes,yes,,,,,
0_to_200,16,prior_payments_delayed,car_used,3218,less_100,less_1,2,male,none,3,savings_insurance,35,bank,rent,1,unskilled,1,yes,yes,,,,,
no_checking,19,credits_paid_to_date,radio_tv,2804,100_to_500,less_1,3,female,none,2,real_estate,31,stores,own,1,skilled,1,none,yes,,,,,
0_to_200,28,prior_payments_delayed,business,6670,100_to_500,4_to_7,4,female,none,2,car_other,36,none,own,3,skilled,1,none,yes,,,,,
less_0,4,all_credits_paid_back,car_new,250,100_to_500,less_1,1,female,none,1,real_estate,21,bank,rent,1,unskilled,1,none,yes,,,,,
no_checking,37,outstanding_credit,radio_tv,5821,unknown,greater_7,5,male,co-applicant,5,car_other,51,none,own,2,skilled,2,none,yes,,,,,
less_0,6,outstanding_credit,radio_tv,1169,unknown,greater_7,4,female,none,4,real_estate,67,none,own,2,skilled,1,yes,yes,,,,,
no_checking,12,outstanding_credit,education,2096,less_100,4_to_7,2,male,none,3,real_estate,49,none,own,1,unskilled,2,none,yes,,,,,
no_checking,12,outstanding_credit,education,2096,less_100,4_to_7,2,female,none,3,real_estate,49,none,own,1,unskilled,2,none,yes,,,,,
greater_200,9,credits_paid_to_date,furniture,4854,less_100,4_to_7,3,female,none,4,savings_insurance,45,none,own,1,skilled,1,none,yes,,,,,
no_checking,14,outstanding_credit,appliances,1680,100_to_500,greater_7,4,male,none,3,car_other,47,none,own,1,management_self-employed,1,none,yes,,,,,
less_0,10,all_credits_paid_back,car_used,250,100_to_500,less_1,1,male,none,2,savings_insurance,36,none,rent,2,skilled,1,none,yes,,,,,
no_checking,32,prior_payments_delayed,education,4424,500_to_1000,4_to_7,3,male,none,4,savings_insurance,32,none,own,2,skilled,1,none,yes,,,,,
less_0,9,prior_payments_delayed,furniture,3047,less_100,1_to_4,3,male,none,3,savings_insurance,35,bank,own,1,unskilled,1,yes,yes,,,,,
no_checking,26,prior_payments_delayed,appliances,4597,500_to_1000,4_to_7,3,female,none,2,car_other,45,none,own,2,skilled,1,yes,yes,,,,,
no_checking,56,outstanding_credit,appliances,8005,unknown,4_to_7,5,male,guarantor,4,car_other,56,none,free,2,skilled,1,yes,yes,,,,,
0_to_200,39,outstanding_credit,furniture,5712,unknown,greater_7,4,male,co-applicant,3,car_other,46,none,own,2,skilled,2,yes,no,,,,,
less_0,15,credits_paid_to_date,vacation,2223,100_to_500,less_1,2,female,none,1,real_estate,27,none,rent,1,skilled,1,none,yes,,,,,
0_to_200,16,credits_paid_to_date,vacation,5118,less_100,4_to_7,4,male,none,4,unknown,31,none,own,1,skilled,1,none,yes,,,,,
less_0,8,all_credits_paid_back,car_new,1608,less_100,unemployed,2,female,none,3,savings_insurance,22,none,rent,1,skilled,1,none,yes,,,,,
no_checking,47,outstanding_credit,repairs,5857,greater_1000,4_to_7,5,male,co-applicant,4,car_other,47,none,free,2,management_self-employed,1,yes,yes,,,,,
no_checking,28,outstanding_credit,radio_tv,7546,500_to_1000,4_to_7,4,male,none,4,car_other,49,none,free,2,management_self-employed,1,yes,yes,,,,,
no_checking,21,credits_paid_to_date,car_used,2049,100_to_500,less_1,3,female,none,2,real_estate,36,none,own,1,skilled,1,none,yes,,,,,
less_0,15,credits_paid_to_date,car_used,3936,less_100,less_1,3,female,none,1,savings_insurance,28,none,own,2,skilled,1,yes,yes,,,,,
no_checking,39,outstanding_credit,other,7688,unknown,4_to_7,5,male,guarantor,5,unknown,62,none,free,2,skilled,1,yes,no,,,,,
less_0,10,prior_payments_delayed,car_new,343,500_to_1000,1_to_4,1,female,none,2,car_other,30,bank,rent,1,unemployed,2,none,yes,,,,,
no_checking,18,prior_payments_delayed,retraining,2036,100_to_500,1_to_4,3,male,none,3,real_estate,28,stores,own,1,unskilled,1,yes,yes,,,,,
0_to_200,12,credits_paid_to_date,vacation,250,less_100,4_to_7,3,female,none,1,savings_insurance,33,none,own,1,skilled,1,none,yes,,,,,
less_0,25,credits_paid_to_date,car_used,2922,100_to_500,1_to_4,2,female,none,1,real_estate,34,stores,own,2,skilled,1,none,yes,,,,,
less_0,9,prior_payments_delayed,car_new,3005,less_100,4_to_7,3,female,none,1,savings_insurance,46,none,own,2,skilled,1,none,yes,,,,,
less_0,16,credits_paid_to_date,repairs,1092,500_to_1000,4_to_7,2,male,co-applicant,1,real_estate,29,stores,rent,1,unskilled,1,none,yes,,,,,
less_0,15,prior_payments_delayed,radio_tv,1391,less_100,less_1,1,female,none,1,car_other,34,stores,rent,1,skilled,1,none,yes,,,,,
0_to_200,33,outstanding_credit,vacation,5848,100_to_500,1_to_4,4,female,guarantor,4,unknown,43,none,free,2,skilled,1,yes,yes,,,,,
less_0,21,credits_paid_to_date,furniture,250,100_to_500,4_to_7,3,male,none,2,savings_insurance,28,stores,own,1,unskilled,1,none,yes,,,,,
less_0,6,all_credits_paid_back,car_used,3279,less_100,1_to_4,3,female,none,3,real_estate,19,none,own,1,skilled,1,none,yes,,,,,
0_to_200,14,prior_payments_delayed,appliances,4902,greater_1000,greater_7,4,male,co-applicant,4,savings_insurance,46,none,own,1,skilled,1,yes,yes,,,,,
0_to_200,16,prior_payments_delayed,furniture,1948,100_to_500,4_to_7,3,male,none,4,savings_insurance,36,bank,own,1,unskilled,1,none,yes,,,,,
0_to_200,9,prior_payments_delayed,car_new,3244,less_100,1_to_4,3,male,none,2,savings_insurance,23,none,own,1,management_self-employed,1,none,yes,,,,,
no_checking,42,outstanding_credit,appliances,3437,unknown,greater_7,5,male,none,3,unknown,38,none,own,2,skilled,1,yes,yes,,,,,
no_checking,30,outstanding_credit,appliances,2338,greater_1000,4_to_7,4,male,none,4,savings_insurance,39,none,free,1,skilled,1,none,yes,,,,,
less_0,25,prior_payments_delayed,radio_tv,3358,100_to_500,4_to_7,2,female,none,2,savings_insurance,23,bank,own,1,unskilled,2,yes,yes,,,,,
0_to_200,21,credits_paid_to_date,car_new,2442,less_100,4_to_7,3,male,none,4,real_estate,47,none,own,1,management_self-employed,1,none,yes,,,,,
0_to_200,4,credits_paid_to_date,car_used,1052,500_to_1000,1_to_4,3,male,co-applicant,3,savings_insurance,42,none,free,1,skilled,1,yes,yes,,,,,
0_to_200,25,credits_paid_to_date,car_new,2750,less_100,less_1,1,male,none,2,real_estate,38,none,own,1,skilled,2,yes,yes,,,,,
less_0,19,credits_paid_to_date,furniture,4003,less_100,unemployed,3,male,none,3,savings_insurance,29,none,own,1,skilled,1,none,yes,,,,,
no_checking,37,credits_paid_to_date,furniture,4396,unknown,4_to_7,4,female,none,3,savings_insurance,53,none,own,2,skilled,1,yes,yes,,,,,
0_to_200,35,credits_paid_to_date,retraining,3810,less_100,4_to_7,3,female,co-applicant,2,unknown,43,stores,own,1,skilled,1,none,yes,,,,,
no_checking,29,all_credits_paid_back,repairs,3972,100_to_500,4_to_7,4,female,none,4,car_other,39,none,own,2,skilled,2,yes,yes,,,,,
less_0,9,all_credits_paid_back,car_new,1071,100_to_500,4_to_7,3,male,none,2,savings_insurance,24,none,own,1,skilled,1,none,yes,,,,,
0_to_200,24,credits_paid_to_date,business,703,greater_1000,1_to_4,3,female,none,2,real_estate,20,none,own,1,skilled,1,none,yes,,,,,
no_checking,43,outstanding_credit,repairs,7877,unknown,greater_7,5,male,co-applicant,3,unknown,56,none,free,2,skilled,2,yes,yes,,,,,
no_checking,8,credits_paid_to_date,car_used,376,less_100,4_to_7,3,female,none,3,savings_insurance,35,none,own,1,skilled,1,none,yes,,,,,
no_checking,52,outstanding_credit,education,8340,unknown,greater_7,4,male,guarantor,5,unknown,66,none,free,2,skilled,2,yes,yes,,,,,
no_checking,8,prior_payments_delayed,radio_tv,2057,100_to_500,1_to_4,2,male,none,3,car_other,35,stores,own,1,unskilled,1,none,yes,,,,,
no_checking,41,outstanding_credit,repairs,3423,unknown,greater_7,5,male,none,5,savings_insurance,56,none,free,2,skilled,1,yes,yes,,,,,
0_to_200,26,credits_paid_to_date,radio_tv,3261,less_100,less_1,3,male,none,3,real_estate,36,none,own,1,management_self-employed,1,none,yes,,,,,
greater_200,24,outstanding_credit,education,8247,100_to_500,greater_7,4,female,none,4,unknown,52,none,free,2,skilled,1,yes,yes,,,,,
less_0,4,all_credits_paid_back,car_new,250,less_100,less_1,2,male,none,1,real_estate,26,stores,rent,1,unskilled,1,none,yes,,,,,
0_to_200,16,prior_payments_delayed,car_new,1680,100_to_500,less_1,3,male,none,2,savings_insurance,35,none,own,2,skilled,2,yes,yes,,,,,
greater_200,20,outstanding_credit,radio_tv,4351,unknown,1_to_4,4,male,none,3,savings_insurance,37,none,free,2,skilled,1,yes,yes,,,,,
0_to_200,15,credits_paid_to_date,car_new,1733,less_100,less_1,2,female,none,2,real_estate,31,bank,rent,1,unskilled,1,none,yes,,,,,
less_0,19,prior_payments_delayed,car_new,1904,less_100,1_to_4,2,male,none,2,savings_insurance,25,none,own,1,skilled,1,none,yes,,,,,
0_to_200,15,credits_paid_to_date,furniture,3481,500_to_1000,1_to_4,2,male,none,3,car_other,43,none,own,1,skilled,2,yes,yes,,,,,
no_checking,8,prior_payments_delayed,car_new,4882,greater_1000,greater_7,4,male,none,4,unknown,37,none,own,1,skilled,2,none,yes,,,,,
no_checking,21,outstanding_credit,radio_tv,3371,500_to_1000,4_to_7,4,male,none,4,savings_insurance,44,none,own,2,management_self-employed,1,yes,yes,,,,,
less_0,8,prior_payments_delayed,car_new,368,less_100,less_1,2,female,none,2,real_estate,29,none,rent,1,skilled,1,none,yes,,,,,
less_0,12,all_credits_paid_back,car_used,264,less_100,less_1,2,male,none,1,real_estate,29,stores,rent,1,skilled,1,none,yes,,,,,
no_checking,26,prior_payments_delayed,furniture,4510,100_to_500,greater_7,4,male,none,5,savings_insurance,46,none,own,2,management_self-employed,1,none,yes,,,,,
no_checking,32,prior_payments_delayed,car_used,5506,500_to_1000,1_to_4,4,male,none,3,car_other,29,none,own,1,skilled,1,none,yes,,,,,
0_to_200,35,outstanding_credit,repairs,5650,500_to_1000,greater_7,5,male,none,3,unknown,45,none,own,2,skilled,1,yes,yes,,,,,
less_0,8,all_credits_paid_back,car_used,1895,less_100,less_1,2,female,none,2,real_estate,39,stores,own,1,unskilled,1,none,yes,,,,,
0_to_200,4,prior_payments_delayed,vacation,2411,less_100,1_to_4,3,female,none,3,savings_insurance,25,none,own,2,management_self-employed,1,yes,yes,,,,,
less_0,11,prior_payments_delayed,furniture,1480,less_100,1_to_4,3,male,none,2,car_other,32,bank,rent,1,unskilled,2,yes,yes,,,,,
0_to_200,17,credits_paid_to_date,furniture,250,less_100,4_to_7,3,female,co-applicant,3,savings_insurance,52,stores,own,1,unskilled,1,yes,yes,,,,,
no_checking,22,outstanding_credit,appliances,3621,unknown,4_to_7,4,male,none,4,savings_insurance,31,none,own,1,skilled,1,none,yes,,,,,
less_0,19,credits_paid_to_date,car_new,250,less_100,less_1,2,female,none,3,savings_insurance,28,none,own,1,skilled,1,yes,yes,,,,,
0_to_200,12,credits_paid_to_date,car_used,3563,less_100,4_to_7,2,male,none,2,real_estate,23,none,own,1,skilled,1,none,yes,,,,,
less_0,4,credits_paid_to_date,radio_tv,250,less_100,less_1,1,male,none,2,real_estate,19,stores,rent,1,skilled,1,none,yes,,,,,
